Type,Category,Sub-category,English,Mentions
Negative,Negative feelings produced by sharks,,afraid,587
Negative,Negative personality traits associated to sharks,,dangerous,547
Neutral,Ecology and biological knowledge,Related to body traits of sharks,big,480
Negative,Negative outcomes of interactions with sharks,,blood,396
Negative,Negative outcomes of interactions with sharks,,death,297
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,sea,183
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,predator,174
Negative,Negative personality traits associated to sharks,,assassin,168
Negative,Negative feelings produced by sharks,,danger,164
Negative,Negative feelings produced by sharks,,terror,159
Negative,Negative feelings produced by sharks,,fear,141
Neutral,Ecology and biological knowledge,Related to body traits of sharks,teeth,126
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,carnivorous,124
Misc.,Misc.,Words mainly associated with Jaws,movie,104
Neutral,Ecology and biological knowledge,Related to body traits of sharks,fin,95
Neutral,Ecology and biological knowledge,,fierce,72
Neutral,Ecology and biological knowledge,Related to body traits of sharks,tooth,68
Negative,Negative personality traits associated to sharks,,bad,66
Positive,Commercial and food benefits,Potential health benefits,cartilage,61
Negative,Negative feelings produced by sharks,,panic,59
Positive,Commercial and food benefits,Potential commerce benefits,oil,54
Neutral,Ecology and biological knowledge,Related to body traits of sharks,strong,49
Negative,Negative personality traits associated to sharks,,devourer,41
Positive,Commercial and food benefits,Potential food benefits,food,38
Negative,Negative personality traits associated to sharks,,wild,37
Neutral,Ecology and biological knowledge,Related to body traits of sharks,enormous,34
Positive,Commercial and food benefits,Potential food benefits,meat,33
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,fish,33
Positive,Commercial and food benefits,Potential food benefits,fish,32
Positive,Commercial and food benefits,Potential food benefits,rich,31
Negative,Negative outcomes of interactions with sharks,,attack,28
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,extinction,27
Neutral,Ecology and biological knowledge,Related to body traits of sharks,giant,26
Negative,Negative personality traits associated to sharks,,aggressiveness,26
Negative,Negative personality traits associated to sharks,,people eat,26
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,Hunter,25
Positive,Commercial and food benefits,Potential food benefits,food,23
Positive,Commercial and food benefits,Potential food benefits,nutritious,23
Negative,Negative outcomes of interactions with sharks,,aggression,22
Negative,Negative personality traits associated to sharks,,ugly,22
Misc.,Misc.,Misc.,White,21
Positive,Commercial and food benefits,Potential food benefits,fishing,21
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,animal,20
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,scarce,19
Negative,Negative feelings produced by sharks,,horror,17
Negative,Negative feelings produced by sharks,,scare,17
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,fast,16
Negative,Negative feelings produced by sharks,,threat,16
Misc.,Misc.,Misc.,blue,14
Misc.,Misc.,Misc.,Beach,14
Positive,Commercial and food benefits,Potential health benefits,medicine,14
Positive,Commercial and food benefits,Potential food benefits,fillet,13
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,Warmwater,13
Negative,Negative feelings produced by sharks,,alert,13
Negative,Negative feelings produced by sharks,,caution,13
Negative,Negative feelings produced by sharks,,careful,12
Misc.,Misc.,Misc.,whale,11
Positive,Commercial and food benefits,Potential food benefits,Ceviche,11
Neutral,Ecology and biological knowledge,Related to the ecology & biology of sharks,Water,11
Positive,Positive personality traits associated to sharks,,imposing,11
Misc.,Misc.,Misc.,black,10
Positive,Commercial and food benefits,Potential commerce benefits,tollo,10
