ID,City,Year of birth,Gender,Education Level,Education success,Tollo consumption,Frequency tollo consumption,Sharks in Peru,Species_sharks_1,Species_sharks_2,Species_sharks_3,Shark consumption,Shark_consumption_1,Shark_consumption_2,Shark_consumption_3,
1,TRU,1978,1.00,4,2,1,1,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
2,TRU,1985,2,3,1,1,3,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
3,TRU,1969,2,3,1,1,2,1,no sabe,N/A,N/A,2,N/A,N/A,N/A,
4,TRU,1970,2,4,1,1,2,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
5,TRU,1967,2,4,1,1,2,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
6,TRU,1990,2,1,2,1,3,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
7,TRU,1975,2,4,1,1,2,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
8,TRU,1960,2,4,1,1,2,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
9,TRU,1984,2,4,1,1,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
10,TRU,1978,2,3,2,1,2,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
11,TRU,1955,2,2,1,1,3,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
12,TRU,1983,2,4,1,1,5,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
13,TRU,1962,2,4,1,1,2,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
14,TRU,1976,2,4,1,1,1,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
15,TRU,1961,2,4,1,1,1,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
16,TRU,1977,N/A,4,1,1,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
17,TRU,1968,2,2,2,1,4,1,no sabe,N/A,N/A,2,N/A,N/A,N/A,
18,TRU,1989,2,NA,,1,5,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
19,TRU,1986,2,2,1,1,3,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
20,TRU,1988,2,3,1,1,2,1,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
21,TRU,1990,2,4,1,1,1,1,N/A,N/A,N/A,3,N/A,N/A,N/A,
22,TRU,1983,2,3,2,1,2,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
23,TRU,1973,2,3,2,1,3,1,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
24,TRU,1984,2,2,1,1,3,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
25,TRU,1963,2,2,2,1,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,
26,TRU,1991,2,2,2,1,3,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
27,TRU,1980,2,2,2,1,3,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
28,TRU,1956,1,2,2,1,5,1,N/A,N/A,N/A,3,N/A,N/A,N/A,
29,TRU,1961,2,2,2,1,3,1,N/A,N/A,N/A,3,N/A,N/A,N/A,
30,TRU,1990,2,4,1,1,2,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
31,TRU,1970,2,2,1,1,2,1,no sabe,N/A,N/A,2,N/A,N/A,N/A,
32,TRU,1993,1,4,2,1,3,1,N/A,N/A,N/A,3,N/A,N/A,N/A,
33,TRU,1985,2,2,1,1,5,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
34,TRU,1981,2,4,1,1,2,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
35,TRU,1969,2,2,1,1,3,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
36,TRU,1983,1,3,1,1,3,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
37,TRU,1984,2,4,2,1,5,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
38,TRU,1986,2,2,2,1,3,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
39,TRU,1992,2,4,1,1,5,1,martillo,N/A,N/A,3,N/A,N/A,N/A,
40,TRU,1950,2,2,1,1,5,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
41,TRU,1992,2,4,2,1,5,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
42,TRU,1982,2,4,1,1,4,2,N/A,N/A,N/A,2,N/A,N/A,N/A,
43,TRU,1974,2,4,2,1,N/A,1,tollo blanco,N/A,N/A,1,tollo blanco,N/A,N/A,
44,TRU,1966,2,4,1,1,N/A,1,tollo blanco,N/A,N/A,1,N/A,N/A,N/A,0.5056277056
45,TRU,1968,2,4,1,1,N/A,1,tollo blanco,N/A,N/A,1,tollo blanco,N/A,N/A,50.56277056
46,TRU,1973,2,4,1,1,N/A,1,tollo blanco,N/A,N/A,1,N/A,N/A,N/A,
47,TRU,1966,2,2,1,1,3,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
48,TRU,1986,2,4,2,1,3,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
49,TRU,1978,2,4,1,1,2,1,martillo,tollo blanco,N/A,1,tollo blanco,N/A,N/A,71.06164384
50,TRU,1981,2,4,1,1,2,1,tollo blanco,N/A,N/A,1,tollo blanco,N/A,N/A,
51,TRU,1971,2,2,2,1,5,1,no sabe,N/A,N/A,3,N/A,N/A,N/A,
52,TRU,1989,2,3,1,1,3,1,N/A,N/A,N/A,2,N/A,N/A,N/A,
53,TRU,1961,1,2,1,1,N/A,1,no sabe,N/A,N/A,2,N/A,N/A,N/A,
54,TRU,1976,1,3,1,1,N/A,1,diamante,N/A,N/A,2,N/A,N/A,N/A,35.93073593
55,TRU,1964,1,3,1,1,3,1,N/A,N/A,N/A,2,N/A,N/A,N/A,
56,TRU,1982,1,4,1,1,N/A,1,diamante tollo,N/A,N/A,1,tollo blanco,N/A,N/A,
57,TRU,1955,1,2,2,1,N/A,1,tollo blanco,N/A,N/A,2,N/A,N/A,N/A,
58,TRU,1986,2,3,1,1,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,
59,TRU,1973,1,3,2,1,N/A,1,diamante,N/A,N/A,2,N/A,N/A,N/A,
60,TRU,1994,2,4,2,1,N/A,1,no sabe,N/A,N/A,2,N/A,N/A,N/A,
61,TRU,1965,1,2,1,1,2,1,no sabe,N/A,N/A,2,N/A,N/A,N/A,
62,TRU,1961,1,4,1,1,3,1,martillo,blanco diamante,N/A,1,martillo,N/A,N/A,
63,TRU,1967,1,4,1,1,2,1,tollo blanco,N/A,N/A,1,N/A,N/A,N/A,
64,TRU,1972,2,3,1,1,2,1,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
65,TRU,1975,1,4,1,1,2,1,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
66,TRU,1982,2,3,1,1,3,1,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
67,TRU,1973,2,2,1,1,2,1,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
68,TRU,1982,2,4,2,1,5,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
69,TRU,1993,2,4,2,1,3,2,N/A,N/A,N/A,3,N/A,N/A,N/A,
70,TRU,1980,2,4,1,1,5,1,martillo,N/A,N/A,3,N/A,N/A,N/A,
71,TRU,1981.00,2.00,4,2,3.00,N/A,2.00,N/A,N/A,N/A,3.00,N/A,N/A,N/A,
72,TRU,1979.00,2.00,1,2,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
73,TRU,1989.00,2.00,2,2,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
74,TRU,1978.00,2.00,2,1,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
75,TRU,1990,2.00,3,2,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
76,TRU,1985,2.00,2,1,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
77,TRU,1987,2.00,2,1,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
78,TRU,1978.00,2.00,3,1,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
79,TRU,1995,2.00,4,2,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
80,TRU,1976,2.00,2,2,1.00,4.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
81,TRU,1993,2.00,NA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
82,TRU,1993.00,2.00,3,2,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
83,TRU,1986.00,1.00,2,2,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
89,TRU,1969,2.00,3,1,1.00,2.00,1.00,tiburones azules,N/A,N/A,3,N/A,N/A,N/A,
90,TRU,1966,2.00,3,1,1.00,1.00,1.00,tiburones azules,N/A,N/A,2,N/A,N/A,N/A,
91,TRU,1991.00,2.00,3,2,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
92,TRU,1980.00,2.00,3,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
93,TRU,1989,2.00,4,1,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
94,TRU,,2.00,2,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
95,TRU,1987.00,1.00,3,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
96,TRU,1992.00,1.00,3,1,2.00,0.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
97,TRU,1986,2.00,3,1,1.00,3.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
98,TRU,1957.00,2.00,1,1,2.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
99,TRU,1962,1.00,1,1,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
100,TRU,1992,1.00,3,1,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
101,TRU,1998.00,1.00,2,1,2.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
102,TRU,1990,2.00,2,1,1.00,5.00,1.00,martillo,N/A,N/A,3,N/A,N/A,N/A,
103,TRU,1995.00,2.00,3,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
104,TRU,1957,1.00,2,1,1.00,5.00,3.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
105,TRU,1987,1.00,3,1,1.00,2.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
106,TRU,1968,2.00,2,1,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
107,TRU,1984,1.00,4,1,1.00,5.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
108,TRU,1991.00,2.00,4,1,2.00,0.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
109,TRU,1990,1.00,2,1,1.00,5.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
110,TRU,,2.00,4,1,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
111,TRU,,2.00,4,1,1.00,N/A,1.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
112,TRU,1933,2.00,4,1,1.00,2.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
113,TRU,1964,2.00,2,1,1.00,2.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
114,TRU,1994,2.00,4,1,1.00,2.00,2.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
115,TRU,1947.00,2.00,1,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
116,TRU,1965,2.00,4,1,1.00,3.00,1.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
117,TRU,,2.00,4,1,1.00,5.00,2.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
118,TRU,1958.00,2.00,2,2,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
119,TRU,1946,2.00,4,1,1.00,3.00,1.00,no sabe,N/A,N/A,1,no sabe,N/A,N/A,
120,TRU,1981,2.00,2,1,1.00,1.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
121,TRU,1995,1.00,4,,1.00,3.00,1.00,N/A,N/A,N/A,1,diamante,N/A,N/A,
122,TRU,1968,1.00,4,,1.00,3.00,1.00,N/A,N/A,N/A,1,blanco,N/A,N/A,
123,TRU,1967,2.00,3,1,1.00,2.00,1.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
124,TRU,1966,2.00,4,,1.00,3.00,1.00,diamante,blanco,N/A,1,tiburones BB,N/A,N/A,
125,TRU,1982,2.00,4,1,1.00,2.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
126,TRU,1962,2.00,4,,1.00,2.00,1.00,N/A,N/A,N/A,1,diamante,N/A,N/A,
127,TRU,2016,2.00,3,1,1.00,3.00,2.00,N/A,N/A,N/A,1,diamante,N/A,N/A,
128,TRU,1970,2.00,4,,1.00,2.00,1.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
129,TRU,2016,2.00,2,,1.00,2.00,1.00,no sabe,N/A,N/A,2,N/A,N/A,N/A,
130,TRU,1961.00,1.00,4,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
131,TRU,1970,2.00,3,1,1.00,3.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
132,TRU,1973,2.00,4,2,1.00,3.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
133,TRU,1979,2.00,3,1,1.00,2.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
134,TRU,1986,2.00,4,1,1.00,3.00,1.00,azul,N/A,N/A,1,N/A,N/A,N/A,
135,TRU,1997,2.00,4,2,1.00,3.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
136,TRU,1978,2.00,3,1,1.00,2.00,1.00,azul,N/A,N/A,1,N/A,N/A,N/A,
137,TRU,1978,1.00,NA,,1.00,3.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
138,TRU,1967,1.00,4,1,1.00,3.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
139,TRU,1969,1.00,2,1,1.00,3.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
140,TRU,1988,2.00,NA,,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,
141,TRU,1988,2.00,4,1,1.00,3.00,1.00,azul,N/A,N/A,2,N/A,N/A,N/A,
142,TRU,1972,2.00,3,2,1.00,4.00,1.00,azul,N/A,N/A,1,tollo,N/A,N/A,
143,TRU,1979,2.00,4,1,1.00,3.00,1.00,blanco,N/A,N/A,2,N/A,N/A,N/A,
144,TRU,1970,2.00,2,1,1.00,3.00,1.00,no sabe,N/A,N/A,2,N/A,N/A,N/A,
145,TRU,1990,1.00,3,1,1.00,4.00,2.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
146,TRU,1980,1.00,4,1,1.00,5.00,1.00,no sabe,N/A,N/A,1,tollo,N/A,N/A,
147,TRU,1971,2.00,4,1,1.00,4.00,1.00,azul,N/A,N/A,2,N/A,N/A,N/A,
148,TRU,1968,1.00,2,1,1.00,3.00,1.00,blanco,N/A,N/A,1,tollo,N/A,N/A,
149,TRU,1960,1.00,4,1,1.00,4.00,1.00,no sabe,N/A,N/A,2,N/A,N/A,N/A,
150,TRU,1961,2.00,3,1,1.00,3.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
151,TRU,1967,2.00,2,1,1.00,1.00,1.00,no sabe,N/A,N/A,2,N/A,N/A,N/A,
152,TRU,1975,1.00,3,1,1.00,3.00,1.00,no sabe,N/A,N/A,1,tollo,N/A,N/A,
153,TRU,1980,2.00,3,1,1.00,2.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
154,TRU,1994,1.00,4,2,1.00,2.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
155,TRU,1946,1.00,1,1,1.00,2.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
156,TRU,1979,1.00,4,1,1.00,3.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
157,TRU,1968,2.00,4,1,1.00,5.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
158,TRU,1983,2.00,3,1,1.00,2.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
159,TRU,1980,1.00,2,1,1.00,3.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
160,TRU,1955,2.00,1,2,1.00,5.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
161,TRU,1949,1.00,1,1,1.00,5.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
162,TRU,1982,2.00,4,1,1.00,2.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
163,TRU,1969,2.00,4,1,1.00,2.00,1.00,tiburon azul,N/A,N/A,1,tiburon azul,N/A,N/A,
164,TRU,1976,2.00,4,1,1.00,3.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
165,TRU,1973,2.00,3,1,1.00,2.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
166,TRU,1961,2.00,3,1,1.00,2.00,1.00,tollo,N/A,N/A,2,N/A,N/A,N/A,
170,TRU,1972,2.00,4,1,1.00,1.00,1.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
171,TRU,1978,2.00,4,1,1.00,1.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
172,TRU,1980,2.00,3,1,1.00,1.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
173,TRU,1963,2.00,3,1,1.00,2.00,1.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
174,TRU,1980,2.00,4,1,1.00,1.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
175,TRU,1959,2.00,4,1,1.00,1.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
176,TRU,1978,2.00,4,1,1.00,3.00,1.00,no sabe,N/A,N/A,2,N/A,N/A,N/A,
177,TRU,1978,2.00,4,1,1.00,2.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
178,TRU,1961,2.00,3,1,1.00,1.00,1.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
179,TRU,1990,2.00,3,1,1.00,2.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
180,TRU,1974,2.00,4,1,1.00,2.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
181,TRU,1974,2.00,4,1,1.00,4.00,1.00,tiburon blanco,tollo,N/A,1,tollo,N/A,N/A,
182,TRU,1980,2.00,4,1,1.00,2.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
183,TRU,1961,2.00,3,1,1.00,2.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
184,TRU,1980,1.00,2,2,1.00,2.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
185,TRU,1970.00,2.00,2,2,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
186,TRU,1993,1.00,3,2,1.00,3.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
187,TRU,1995,2.00,3,1,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
188,TRU,1950,2.00,2,1,1.00,1.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
189,TRU,1946,1.00,4,1,1.00,3.00,1.00,no sabe,N/A,N/A,1,N/A,N/A,N/A,
190,TRU,1968,1.00,2,1,1.00,4.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
